"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1097",66,"9722","8","1","2","6","2","1",35,"0","3","301",8170,54,2916
"1098",49,"8343","11","1","4","5","2","2",20,"0","2","101",3870,31,961
"1099",40,"5222","11","2","3","4","2","2",54,"2","2","301",8600,25,625
"1100",50,"9722","12","1","4","5","2","1",40,"0","3","101",1500,32,1024
"1101",69,"5113","14","2","2","5","2","2",0,"2","2","201",875,60,3600
"1102",48,"5113","14","2","2","5","2","2",42,"3","2","201",8600,36,1296
"1103",75,"5222","16","2","2","4","2","2",32,"4","2","101",2580,63,3969
"1104",20,"5222","20","2","3","6","2","2",15,"1","2","408",2150,5,25
"1105",20,"5222","20","2","3","6","2","2",15,"1","2","408",5160,5,25
"1106",20,"5222","20","1","3","6","2","2",52,"0","3","408",2150,5,25
"1107",20,"5222","20","1","3","6","2","2",52,"0","3","408",5160,5,25
"1108",40,"2811","22","2","6","1","2","1",50,"2","3","202",5000,22,484
"1109",80,"5222","23","2","2","2","2","2",36,"4","1","101",2150,68,4624
"1110",22,"5222","23","2","7","6","2","2",24,"1","2","301",6450,1,1
"1111",49,"5113","23","2","3","5","2","1",8,"2","2","201",5590,34,1156
"1112",23,"5222","23","2","3","1","2","2",51,"2","1","201",4300,8,64
"1113",24,"5222","23","2","3","5","2","2",24,"3","2","301",4300,10,100
"1114",55,"5222","24","2","3","5","2","2",35,"3","2","201",1290,40,1600
"1115",75,"9722","24","1","6","6","2","2",0,"0","1","101",645,54,2916
"1116",29,"5222","24","2","4","5","2","2",16,"2","2","201",2150,11,121
"1117",41,"5113","25","2","4","5","2","2",45,"2","2","201",10750,24,576
"1118",24,"5222","25","2","7","1","2","2",6,"1","2","201",1505,1,1
"1119",77,"2811","25","2","6","4","2","1",24,"2","3","101",7200,59,3481
"1120",29,"9722","25","1","3","5","2","1",45,"0","3","301",8600,14,196
"1121",67,"5222","25","2","2","4","2","2",50,"3","2","101",10750,55,3025
"1122",26,"2811","26","2","7","5","2","1",48,"1","3","201",3000,4,16
"1123",16,"5222","26","2","3","6","2","2",20,"1","2","301",2150,1,1
"1124",27,"5222","26","2","3","1","2","2",70,"1","2","201",5160,12,144
"1125",39,"5222","26","2","4","5","2","2",4,"2","1","201",1720,21,441
"1126",67,"8343","26","1","2","5","2","2",48,"0","2","101",7740,56,3136
"1127",40,"5222","26","2","2","6","2","2",72,"4","2","301",5160,29,841
"1128",34,"5222","26","2","3","1","2","2",0,"2","2","201",1290,19,361
"1129",51,"8343","26","1","3","5","2","1",48,"0","2","101",10750,36,1296
"1130",50,"5113","26","2","3","5","2","2",48,"2","2","201",8600,35,1225
"1131",58,"5222","26","2","3","4","2","2",40,"2","2","101",4300,43,1849
"1132",36,"5222","26","2","3","6","2","2",48,"1","2","403",3870,22,484
"1133",35,"9722","28","1","3","6","2","1",44,"0","3","301",6450,20,400
"1134",61,"5222","28","2","2","6","2","2",50,"2","2","401",4300,53,2809
"1135",19,"8343","28","1","4","6","2","2",14,"0","2","301",4300,1,1
"1136",37,"5222","28","2","2","6","2","2",60,"1","2","403",2150,25,625
"1137",47,"2812","28","1","6","1","2","1",37,"0","3","101",4000,-58,3364
