"SEXO","EDAD","ENT","ESC","urbano","TIEMPO_TOTAL","SIT_CONYUGAL","INDIGENA","TIPO_TRABAJO","PROGRAMA_SOCIAL","SEGURO_MEDICO","PAREN","TIEMPO_CHOF","TIEMPO_COCIN","TIEMPO_ENF_TEC","TIEMPO_FISIO","TIEMPO_CUID","NUM_PER","esc_jefe","jefatura_femenina","edad_jefe","SAL_SEM"
1,53,1,12,1,0,5,0,NA,0,1,2,0,0,0,0,0,5,12,0,57,NA
0,29,1,12,1,0,5,1,NA,0,0,5,0,0,0,0,0,5,12,0,57,NA
1,25,1,15,1,0,5,1,NA,0,0,3,0,0,0,0,0,5,12,0,57,NA
0,47,1,20,1,0,5,0,1,0,1,1,0,0,0,0,0,3,18,0,47,4500
1,47,1,18,1,0,5,0,NA,0,1,2,0,0,0,0,0,3,18,0,47,NA
0,19,1,15,1,0,6,0,NA,0,1,3,0,0,0,0,0,3,18,0,47,NA
0,55,1,15,1,0,5,1,1,0,1,1,0,0,0,0,0,4,12,0,55,2500
1,48,1,12,1,0,5,0,1,0,1,2,0,0,0,0,0,4,12,0,55,1600
0,15,1,10,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,12,0,55,NA
1,20,1,14,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,12,0,55,NA
0,38,1,12,1,0,1,0,4,0,1,1,0,0,0,0,0,6,6,0,38,3000
1,37,1,12,1,0,1,0,4,0,1,2,0,0,0,0,0,6,6,0,38,1500
0,19,1,15,1,0,6,0,4,0,0,3,0,0,0,0,0,6,6,0,38,1750
1,14,1,12,1,0,6,0,2,0,0,3,0,0,0,0,0,6,6,0,38,NA
0,13,1,8,1,0,6,0,NA,0,0,3,0,0,0,0,0,6,6,0,38,NA
1,29,1,18,1,0,6,0,4,0,1,3,0,0,0,0,0,7,NA,0,69,NA
1,85,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,1,6,1,85,NA
1,80,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,2,6,1,80,NA
0,49,1,15,1,0,6,0,4,0,0,3,0,0,0,0,0,2,6,1,80,1750
0,60,1,12,1,0,6,0,4,0,0,1,0,0,0,0,0,5,9,0,60,3000
1,65,1,15,1,0,6,0,NA,0,0,2,0,0,0,0,0,5,9,0,60,NA
1,68,1,12,1,0,4,0,1,0,0,7,0,0,0,0,0,5,9,0,60,1500
0,32,1,15,1,0,6,0,2,0,0,7,0,0,0,0,0,5,9,0,60,NA
0,30,1,14,1,0,6,1,2,0,0,7,0,0,0,0,0,5,9,0,60,NA
1,28,1,22,1,0,6,0,4,0,1,1,0,0,0,0,0,3,17,1,28,3750
1,28,1,22,1,0,6,0,1,0,1,8,0,0,0,0,0,3,17,1,28,6250
1,25,1,22,1,0,6,0,1,0,1,8,0,0,0,0,0,3,17,1,28,6250
0,33,1,12,1,0,3,1,1,0,1,1,0,0,0,0,0,3,9,0,33,1800
1,62,1,15,1,0,3,0,NA,0,0,6,0,0,0,0,0,3,9,0,33,NA
0,62,1,22,1,1.83333333333333,5,1,1,0,1,1,1.66666666666667,0,0,0,0.166666666666667,3,17,0,62,4250
1,62,1,12,1,0,5,1,5,0,1,2,0,0,0,0,0,3,17,0,62,3000
0,40,1,12,1,0.466666666666667,6,0,1,0,1,3,0,0,0,0,0.466666666666667,3,17,0,62,1000
0,45,1,14,1,0.25,5,0,4,0,0,1,0,0,0,0,0.25,5,13,0,45,4500
1,36,1,15,1,0,5,1,1,0,0,2,0,0,0,0,0,5,13,0,45,1500
0,15,1,11,1,0.75,6,0,NA,0,1,3,0,0,0,0,0.75,5,13,0,45,NA
0,13,1,8,1,0,6,0,2,0,1,3,0,0,0,0,0,5,13,0,45,NA
1,68,1,15,1,0,3,0,4,0,0,6,0,0,0,0,0,5,13,0,45,140
0,30,1,15,1,0,1,1,1,0,1,1,0,0,0,0,0,5,12,0,30,4000
1,25,1,15,1,0,1,0,1,0,1,2,0,0,0,0,0,5,12,0,30,3000
0,71,1,22,1,0,5,0,NA,0,1,1,0,0,0,0,0,3,17,0,71,NA
1,71,1,15,1,0,5,0,NA,0,1,2,0,0,0,0,0,3,17,0,71,NA
0,30,1,20,1,1,6,0,1,0,1,3,0,0,0,0,1,3,17,0,71,4000
1,78,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,1,9,1,78,NA
1,53,1,22,1,0,3,1,1,0,1,1,0,0,0,0,0,4,17,1,53,2875
0,31,1,22,1,0,2,0,1,0,1,3,0,0,0,0,0,4,17,1,53,1400
1,22,1,22,1,0,6,0,1,0,1,3,0,0,0,0,0,4,17,1,53,2250
1,19,1,15,1,0,6,0,NA,0,1,3,0,0,0,0,0,4,17,1,53,NA
0,43,1,12,1,0,5,1,4,0,1,1,0,0,0,0,0,2,9,0,43,1000
1,35,1,15,1,0,5,0,4,0,1,2,0,0,0,0,0,2,9,0,43,1200
1,60,1,12,1,0,5,0,NA,0,1,1,0,0,0,0,0,2,6,1,60,NA
0,62,1,12,1,0,5,0,1,0,1,2,0,0,0,0,0,2,6,1,60,NA
1,65,1,15,1,0,2,0,1,0,1,1,0,0,0,0,0,1,12,1,65,1000
0,79,1,12,1,4,5,0,2,0,1,1,2,0,0,0,2,3,6,0,79,NA
1,71,1,12,1,0.583333333333333,5,0,NA,0,1,2,0,0,0.583333333333333,0,0,3,6,0,79,NA
0,98,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,NA,1,39,570
0,71,1,15,1,0,4,1,4,0,1,1,0,0,0,0,0,4,12,0,71,1400
1,36,1,12,1,8.16666666666667,3,0,1,0,1,3,0,0,0,0,8.16666666666667,4,12,0,71,NA
1,13,1,12,1,2,6,0,NA,0,1,4,1,0,0,0,1,4,12,0,71,NA
1,37,1,12,1,46,6,0,NA,0,1,3,0,0,0,0,46,4,12,0,71,NA
0,67,1,16,1,0,5,0,2,0,0,1,0,0,0,0,0,3,14,0,67,NA
1,60,1,12,1,0,5,0,2,0,0,2,0,0,0,0,0,3,14,0,67,NA
0,29,1,22,1,4,1,0,4,0,0,3,0,0,0,0,4,3,14,0,67,3000
0,69,1,6,1,38,5,1,NA,0,1,1,2,0,0,0,36,2,3,0,69,NA
1,68,1,12,1,0,5,1,NA,1,1,2,0,0,0,0,0,2,3,0,69,NA
1,62,1,12,1,0,6,0,4,0,1,1,0,0,0,0,0,1,6,1,62,500
1,53,1,12,1,0,2,0,1,0,1,1,0,0,0,0,0,3,9,1,53,1750
1,21,1,12,1,0,2,0,1,0,1,3,0,0,0,0,0,3,9,1,53,1200
0,71,1,12,1,2.5,5,0,5,0,1,1,2.5,0,0,0,0,2,6,0,71,3750
1,62,1,12,1,0,5,0,NA,0,1,2,0,0,0,0,0,2,6,0,71,NA
0,49,1,12,1,0,5,0,4,0,1,1,0,0,0,0,0,2,9,0,49,800
1,46,1,12,1,0,5,1,1,0,1,2,0,0,0,0,0,2,9,0,49,400
0,59,1,15,1,0,1,0,4,0,1,1,0,0,0,0,0,2,12,0,59,2000
1,60,1,15,1,0,1,0,NA,0,1,2,0,0,0,0,0,2,12,0,59,NA
0,76,1,12,1,0,3,0,NA,0,1,1,0,0,0,0,0,1,6,0,76,NA
1,89,1,6,1,0,4,0,NA,0,1,1,0,0,0,0,0,2,3,1,89,NA
1,56,1,15,1,54,2,0,4,1,1,3,0,0,0,0,54,2,3,1,89,800
0,51,1,12,1,0,5,1,1,0,1,1,0,0,0,0,0,5,6,0,51,1200
1,54,1,12,1,0,5,0,NA,0,1,2,0,0,0,0,0,5,6,0,51,NA
1,20,1,15,1,0,6,0,NA,0,0,3,0,0,0,0,0,5,6,0,51,NA
1,19,1,15,1,0,6,0,NA,0,0,3,0,0,0,0,0,5,6,0,51,NA
1,17,1,11,1,0,6,0,NA,0,1,3,0,0,0,0,0,5,6,0,51,NA
1,74,1,6,1,0,4,1,NA,0,1,1,0,0,0,0,0,1,3,1,74,NA
0,85,1,12,1,0,4,0,1,0,1,1,0,0,0,0,0,1,6,0,85,700
1,61,1,12,1,1.75,4,1,NA,0,1,1,0,0,0,0,1.75,6,9,1,61,NA
0,51,1,15,1,0,6,1,NA,0,0,7,0,0,0,0,0,6,9,1,61,NA
1,33,1,12,1,43.5,2,0,1,0,1,3,1.5,0,0,0,42,6,9,1,61,1000
1,17,1,12,1,2.85,6,1,NA,0,1,4,1.83333333333333,0,0,0,1.01666666666667,6,9,1,61,NA
0,15,1,12,1,12.0833333333333,6,1,NA,0,1,4,1.75,2.5,0,0,7.83333333333333,6,9,1,61,NA
0,13,1,8,1,0,6,0,NA,0,1,4,0,0,0,0,0,6,9,1,61,NA
1,74,1,15,1,0,5,0,NA,0,1,2,0,0,0,0,0,2,16,0,80,NA
0,80,1,20,1,3,5,1,4,0,1,1,1.5,0,0,0,1.5,2,16,0,80,4500
1,85,1,2,1,0,4,0,NA,0,1,1,0,0,0,0,0,3,1,1,85,NA
1,57,1,20,1,0,5,0,1,0,1,3,0,0,0,0,0,3,1,1,85,5000
0,52,1,22,1,0,5,0,1,0,1,3,0,0,0,0,0,3,1,1,85,3500
1,27,1,15,1,0,1,0,1,0,1,2,0,0,0,0,0,4,NA,0,30,1250
0,53,1,12,1,0,5,0,4,0,0,1,0,0,0,0,0,4,9,0,53,3000
1,50,1,12,1,0,5,0,NA,0,0,2,0,0,0,0,0,4,9,0,53,NA
1,27,1,20,1,0,6,0,1,0,1,3,0,0,0,0,0,4,9,0,53,2500
1,15,1,11,1,0,6,1,NA,0,1,3,0,0,0,0,0,4,9,0,53,NA
0,52,1,12,1,0,5,0,4,0,0,1,0,0,0,0,0,4,9,0,52,1000
0,32,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,9,0,52,1900
1,25,1,20,1,0,6,0,1,0,0,1,0,0,0,0,0,1,16,1,25,3000
0,42,1,14,1,0,5,1,1,0,1,1,0,0,0,0,0,4,13,0,42,7000
1,45,1,12,1,0,1,0,NA,0,1,2,0,0,0,0,0,4,13,0,42,NA
1,25,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,4,13,0,42,1300
1,64,1,15,1,0,3,0,NA,0,1,1,0,0,0,0,0,1,12,1,64,NA
0,57,1,12,1,0,5,0,4,0,1,1,0,0,0,0,0,6,9,0,57,1200
1,54,1,12,1,0,5,1,NA,0,1,2,0,0,0,0,0,6,9,0,57,NA
1,25,1,22,1,0,6,1,1,0,0,3,0,0,0,0,0,6,9,0,57,1500
1,24,1,20,1,0,6,1,1,0,0,3,0,0,0,0,0,6,9,0,57,1250
1,24,1,16,1,0,6,0,NA,0,1,3,0,0,0,0,0,6,9,0,57,NA
1,18,1,15,1,0,6,0,NA,0,1,3,0,0,0,0,0,6,9,0,57,NA
1,67,1,12,1,0,4,0,NA,0,1,1,0,0,0,0,0,1,9,1,67,NA
0,43,1,11,1,0,5,0,1,0,1,1,0,0,0,0,0,3,10,0,43,1500
1,43,1,15,1,0,5,0,1,0,1,2,0,0,0,0,0,3,10,0,43,2000
1,18,1,15,1,0,6,0,1,0,1,3,0,0,0,0,0,3,10,0,43,800
1,61,1,22,1,0,5,0,1,0,1,1,0,0,0,0,0,3,17,1,61,4000
0,63,1,22,1,0.666666666666667,5,0,1,0,1,2,0.666666666666667,0,0,0,0,3,17,1,61,1500
0,22,1,18,1,2.83333333333333,6,0,4,0,1,3,0,0,0,0,2.83333333333333,3,17,1,61,2000
1,77,1,20,1,0,3,1,NA,0,1,1,0,0,0,0,0,2,16,1,77,NA
0,51,1,20,1,0,2,0,4,0,1,7,0,0,0,0,0,2,16,1,77,2500
1,56,1,15,1,0,4,1,5,0,0,1,0,0,0,0,0,2,12,1,56,2500
1,26,1,22,1,0,6,0,1,0,1,3,0,0,0,0,0,2,12,1,56,8000
1,86,1,15,1,0,4,0,NA,0,1,1,0,0,0,0,0,2,12,1,86,NA
0,53,1,20,1,7,6,0,5,0,1,3,0,0,0,0,7,2,12,1,86,5000
1,77,1,15,1,0,5,0,NA,0,1,2,0,0,0,0,0,3,NA,0,98,NA
0,46,1,22,1,16,3,0,4,0,0,3,0,0,0,0,16,3,NA,0,98,2500
0,51,1,22,1,0,5,0,1,0,1,1,0,0,0,0,0,3,17,0,51,3000
1,46,1,22,1,0,5,0,1,0,1,2,0,0,0,0,0,3,17,0,51,2500
0,21,1,16,1,0,6,0,NA,0,1,3,0,0,0,0,0,3,17,0,51,NA
0,68,1,17,1,0,5,1,NA,0,1,1,0,0,0,0,0,2,13,0,68,NA
1,69,1,12,1,0,5,0,NA,0,1,2,0,0,0,0,0,2,13,0,68,NA
